"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/street/hoedenmakershofje/6830",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/hoefijzersgang/7892",,,,"yes",,,
"https://adamlink.nl/geo/street/hoeksteenengang/6124",,,,,"yes","no",
"https://adamlink.nl/geo/street/hoerenpad/6967","yes","no",,,,,
"https://adamlink.nl/geo/street/holmanssteeg/7007",,"yes",,,,,
"https://adamlink.nl/geo/street/hondengang/7893",,,,"yes",,,
"https://adamlink.nl/geo/street/hondjesgang/7894",,,,"yes",,,
"https://adamlink.nl/geo/street/hoogeboomsgang/7895",,,,"yes",,,
"https://adamlink.nl/geo/street/hoogkamersgang/5639",,,,"yes",,,
"https://adamlink.nl/geo/street/hoopsgang/7896",,,,"yes",,,
"https://adamlink.nl/geo/street/houte-wambeyssteeg/7015",,"yes",,,,,
"https://adamlink.nl/geo/street/houtekamsgang/6712",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/houtkoopersgang/6790",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/houtkopersdwarsstraat/1894",,,"yes",,,,
"https://adamlink.nl/geo/street/houttuinen/6978","yes","no",,,,,
"https://adamlink.nl/geo/street/houtzagersgang/6724",,,,"yes","no",,
"https://adamlink.nl/geo/street/houtzagersgang/7897",,,,"yes",,,
"https://adamlink.nl/geo/street/houtzagerssteeg/7898",,,,"yes",,,
"https://adamlink.nl/geo/street/huidenstraat/1913",,"yes","yes",,,,
"https://adamlink.nl/geo/street/huiszittensteeg/5675",,"yes","yes",,,,
"https://adamlink.nl/geo/street/jan-de-vriesen-steeg/5637",,"yes",,,,,
"https://adamlink.nl/geo/street/jan-hanzenpad/6105","yes","no",,,,,
"https://adamlink.nl/geo/street/jan-krimpengang/2061",,,,"yes",,,
